ChEMBL_ID,Smiles,Standard_value,Activity
CHEMBL268326,C[C@H]1C[C@@H](C)Nc2cc3nc(O)cc(C(F)(F)F)c3cc21,6.823908741,active
CHEMBL717,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,7.214670165,active
CHEMBL268569,CCC[C@@H]1CCc2cc3c(C(F)(F)F)cc(O)nc3cc2N1,6.494850022,active
CHEMBL3706911,CC(C)(C)CNc1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,6.568636236,active
CHEMBL3706881,CC(C)CNc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1,6.13076828,active
CHEMBL3706878,CCNc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1,6.455931956,active
CHEMBL132803,CC1=CC(C)(C)Nc2cc3nc(F)cc(C(F)(F)F)c3cc21,6.508638306,active
CHEMBL246140,C=C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,7.102372909,active
CHEMBL157407,Cn1c(=O)cc(C(F)(F)F)c2cc3c(cc21)N1CCCC1(C)CC3,6.568636236,active
CHEMBL3706928,CCOC(=O)CN(CC(F)(F)F)c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1,6.721246399,active
CHEMBL235128,C[C@H](N(CC(F)(F)F)c1ccc2[nH]c(=O)cc(C(F)(F)F)c2c1)C(F)(F)F,6.698970004,active
CHEMBL238124,CC(C)c1cc(=O)[nH]c2ccc(N(CC(F)(F)F)CC(F)(F)F)cc12,7.698970004,active
CHEMBL3706875,CCCNc1ccc2c(C(F)(F)F)cc(=O)[nH]c2c1,6.494850022,active
CHEMBL346487,CC1=CC(C)(C)Nc2cc3nc(O)cc(C)c3cc21,6.443697499,active
CHEMBL403039,CC12CCC(C)(O1)[C@@H]1C(=O)N(c3ccc([N+](=O)[O-])c4c(Br)cccc34)C(=O)[C@@H]12,6.397940009,active
CHEMBL134140,CC1(C)CCc2cc3c(C(F)(F)F)cc(Br)nc3cc2N1,6.142667504,active
CHEMBL1947185,CC1(C)CN(CCC#N)C(=O)[C@@H]1Oc1ccc(C#N)c(Cl)c1,6.167491087,active
CHEMBL1288959,Oc1cccc2c1[nH]c1ccc(Cl)c(Cl)c12,6.823908741,active
